                 title                  |   duration   |    begin     |     end      |  pct 
----------------------------------------+--------------+--------------+--------------+------
For Those About To Rock (We Salute You) | 00:05:43.719 | 00:00:00     | 00:05:43.719 | 14.32
Put The Finger On You                   | 00:03:25.662 | 00:05:43.719 | 00:09:09.381 | 8.57
Let's Get It Up                         | 00:03:53.926 | 00:09:09.381 | 00:13:03.307 | 9.75
Inject The Venom                        | 00:03:30.834 | 00:13:03.307 | 00:16:34.141 | 8.78
Snowballed                              | 00:03:23.102 | 00:16:34.141 | 00:19:57.243 | 8.46
Evil Walks                              | 00:04:23.497 | 00:19:57.243 | 00:24:20.74  | 10.98
C.O.D.                                  | 00:03:19.836 | 00:24:20.74  | 00:27:40.576 | 8.33
Breaking The Rules                      | 00:04:23.288 | 00:27:40.576 | 00:32:03.864 | 10.97
Night Of The Long Knives                | 00:03:25.688 | 00:32:03.864 | 00:35:29.552 | 8.57
Spellbound                              | 00:04:30.863 | 00:35:29.552 | 00:40:00.415 | 11.28
