      genre        |        track        |                           artist                          
-------------------+---------------------+-----------------------------------------------------------
Alternative        | Hunger Strike       | Temple of the Dog
Alternative & Punk | Infeliz Natal       | Raimundos
Blues              | Knockin On Heav…    | Eric Clapton
Bossa Nova         | Onde Anda Você      | Toquinho & Vinícius
Classical          | Fantasia On Gre…    | Academy of St. Martin in the Fields & Sir Neville Marriner
Comedy             | The Negotiation     | The Office
Drama              | Homecoming          | Heroes
Easy Listening     | I've Got You Un…    | Frank Sinatra
Electronica/Dance  | Light Years         | Jamiroquai
Heavy Metal        | Wrathchild          | Iron Maiden
Hip Hop/Rap        | Shamrocks And S…    | House Of Pain
Jazz               | Best Thing          | Spyro Gyra
Latin              | Meu Bem-Querer      | Djavan
Metal              | Looks That Kill     | Mötley Crüe
Opera              | Die Zauberflöte…    | Sir Georg Solti, Sumi Jo & Wiener Philharmoniker
Pop                | Gimme Some Trut…    | U2
R&B/Soul           | Butterfly           | Jamiroquai
Reggae             | A Cor Do Sol        | Cidade Negra
Rock               | Daughter            | Pearl Jam
Rock And Roll      | Carol               | BackBeat
Sci Fi & Fantasy   | Crossroads, Pt.…    | Battlestar Galactica
Science Fiction    | The Son Also Ri…    | Battlestar Galactica
Soundtrack         | Koyaanisqatsi       | Philip Glass Ensemble
TV Shows           | Six Months Ago      | Heroes
World              | I Ka Barra (You…    | Habib Koité and Bamada
